targetSide,volume,correct
0,0.247,1
1,0.131,1
1,0.075,1
0,0.045,1
0,0.203,0
1,0.138,1
1,0.103,1
1,0.081,1
0,0.067,1
1,0.058,1
1,0.050,1
0,0.068,0
0,0.061,1
0,0.055,1
0,0.051,1
0,0.048,1
0,0.045,1
0,0.043,1
0,0.041,1
0,0.045,0
